Start time,End time
08/13/2016 11:00:00 AM +0000,08/13/2016 03:00:00 PM +0000
02/13/2016 10:00:00 AM +0000,02/13/2016 02:00:00 PM +0000
02/18/2016 06:00:00 PM +0000,02/18/2016 08:00:00 PM +0000
02/10/2016 03:00:00 PM +0000,02/10/2016 04:15:00 PM +0000
07/09/2016 11:00:00 AM +0000,07/09/2016 04:00:00 PM +0000
04/05/2016 06:30:00 PM +0000,04/05/2016 08:30:00 PM +0000
05/26/2016 06:00:00 PM +0000,05/26/2016 07:30:00 PM +0000
08/02/2016 05:00:00 PM +0000,08/02/2016 08:00:00 PM +0000
08/27/2016 01:00:00 PM +0000,08/27/2016 05:00:00 PM +0000
07/16/2016 01:00:00 PM +0000,07/16/2016 04:00:00 PM +0000
08/13/2016 01:30:00 PM +0000,08/13/2016 04:30:00 PM +0000
08/12/2016 04:00:00 PM +0000,08/12/2016 06:00:00 PM +0000
05/14/2016 10:00:00 AM +0000,05/14/2016 01:30:00 PM +0000
02/18/2016 06:30:00 PM +0000,02/18/2016 08:00:00 PM +0000
