Country_Name,Country_Code,Gold,Silver,Bronze
Great Britain,GBR,2,3,2
Hungary,HUN,2,1,3
United States,USA,11,7,2
Germany,GER,6,5,2
Mixed team,ZZX,1,0,1
Greece,GRE,10,18,19
Italy,ITA,3,2,0
Germany,GER,4,3,2
Australia,AUS,2,0,3
Hungary,HUN,1,2,2
Denmark,DEN,1,3,2
France,FRA,27,38,37
India,IND,0,2,0
Norway,NOR,2,3,3
Germany,GER,3,5,5
United States,USA,23,12,12
Great Britain,GBR,56,51,39
France,FRA,5,5,9
Greece,GRE,0,3,1
France,FRA,7,5,3
Finland,FIN,9,8,9
Canada,CAN,3,2,3
Russian Empire,RU1,0,2,3
Switzerland,SUI,1,0,0
Netherlands,NED,0,0,3
Austria,AUT,0,2,2
Greece,GRE,1,0,1
Belgium,BEL,2,1,3
Sweden,SWE,4,13,12
France,FRA,13,15,10
Finland,FIN,14,13,10
United States,USA,45,27,27
Italy,ITA,8,3,5
Great Britain,GBR,9,13,12
Canada,CAN,0,3,1
Japan,JPN,0,0,1
New Zealand,NZL,0,0,1
